,leadId
1937,5472261
1938,5472279
1939,5472284
1940,5472326
1941,5472333
1942,5472338
1943,5472353
1944,5472398
1945,5472458
1946,5472459
1947,5472482
1948,5472511
1949,5472524
1950,5472572
1951,5472573
1952,5472594
1953,5472608
1954,5472612
1955,5472660
1956,5472689
1957,5472722
1958,5472732
1959,5472749
1960,5472757
1961,5472760
1962,5472762
1963,5472781
1964,5472862
1965,5472867
1966,5472880
1967,5472990
1968,5473157
1969,5473279
1970,5473282
1971,5473383
1972,5473391
1973,5473556
1974,5473604
1975,5473638
1976,5473642
1977,5473799
1978,5473910
1979,5473948
1980,5474060
1981,5474062
1982,5474063
1983,5474188
1984,5474390
1985,5474602
1986,5474609
1987,5474662
1988,5474722
1989,5474966
1990,5475019
1991,5475079
1992,5475100
1993,5475252
1994,5476160
1995,5476191
1996,5476289
1997,5476806
1998,5476834
1999,5477097
2000,5477195
2001,5477217
2002,5477367
2003,5477374
2004,5477744
2005,5478301
2006,5478303
2007,5478314
2008,5478321
2009,5478323
2010,5478338
2011,5478375
2012,5478412
2013,5478413
2014,5478472
2015,5478517
2016,5478543
2017,5478566
2018,5496472
2019,5496492
2020,5496534
2021,5496551
2022,5496830
2023,5496926
2024,5497036
2025,5497074
2026,5497593
2027,5497928
2028,5497959
2029,5498055
2030,5498104
2031,5498230
2032,5498237
2033,5498241
2034,5498301
2035,5498335
2036,5498518
2037,5498526
2038,5498565
2039,5498602
2040,5498604
2041,5498640
2042,5498743
2043,5498762
2044,5498778
2045,5498851
2046,5498951
2047,5498973
2048,5498977
2049,5499032
2050,5499050
2051,5499054
2052,5499410
2053,5499492
2054,5499497
2055,5499532
2056,5500086
2057,5500323
2058,5500332
2059,5500368
2060,5500397
2061,5500984
2062,5501030
2063,5501032
2064,5501036
2065,5501483
2066,5501559
2067,5501764
2068,5501802
2069,5501864
2070,5501869
2071,5501922
2072,5501961
2073,5502042
2074,5502046
2075,5502336
2076,5502444
2077,5502513
2078,5504787
2079,5504871
2080,5504880
2081,5505068
2082,5505374
2083,5505401
2084,5505539
2085,5506073
2086,5506082
2087,5506588
2088,5506755
2089,5506815
2090,5506866
2091,5506873
2092,5506932
2093,5506942
2094,5507070
2095,5507145
2096,5507148
2097,5507150
2098,5507389
2099,5507469
2100,5508280
2101,5508316
2102,5508348
2103,5508515
2104,5508564
2105,5508584
2106,5508587
2107,5508598
2108,5508727
2109,5508731
2110,5508795
2111,5508826
2112,5508840
2113,5508937
2114,5508999
2115,5509079
2116,5509254
2117,5509293
2118,5509332
2119,5509402
2120,5509440
2121,5509455
2122,5509483
2123,5509518
2124,5509732
2125,5510803
2126,5510807
2127,5510808
2128,5510877
2129,5510881
2130,5510890
2131,5510893
2132,5510906
2133,5510929
2134,5511001
2135,5511065
2136,5511069
2137,5511109
2138,5511122
2139,5511195
