cnpj,data_base,porte,origem
08513486000173,2022-01-01,Middle,Lista ativa
08604018000104,2022-07-01,Small,Passiva mkt
08606340000172,2020-09-01,Very small,Lista ativa
08628071000145,2022-10-01,Small,Lista ativa
08628654000176,2021-04-01,Small,Lista ativa
08641364000162,2016-10-01,SEM PORTE DEFINIDO,Lista ativa
08644984000155,2019-11-01,SEM PORTE DEFINIDO,Lista ativa
08646920000193,2020-07-01,Small,Lista ativa
08655788000186,2018-07-01,SEM PORTE DEFINIDO,Lista ativa
08663314000186,2022-09-01,Middle,Evento
08671358000158,2021-11-01,Small,Lista ativa
08687885000150,2021-08-01,Small,Passiva mkt
08708980000193,2022-04-01,Middle,Links patrocinados
08731293000199,2020-12-01,Middle,Lista ativa
08737273000125,2021-03-01,Small,Lista ativa
08754217000107,2022-02-01,Small,Lista ativa
08760941000135,2022-08-01,Small,Lista ativa
08776918000139,2022-06-01,Middle,Passiva mkt
08787226000196,2021-08-01,Small,Lista ativa
08787726000128,2021-08-01,Very small,Passiva mkt
08797442000112,2020-10-01,Very small,Lista ativa
08811362000174,2022-02-01,Very small,Passiva mkt
08824192000162,2021-03-01,Middle,Lista ativa
08825897000102,2018-11-01,SEM PORTE DEFINIDO,Lista ativa
08861901000180,2018-08-01,SEM PORTE DEFINIDO,Lista ativa
08866500000112,2022-08-01,Small,Lista ativa
08871322000118,2020-12-01,Small,Lista ativa
08887880000171,2020-05-01,Small,Lista ativa
08889318000187,2020-11-01,Middle,Lista ativa
08924662000160,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
08940091000157,2022-07-01,Middle,Lista ativa
08967595000160,2020-12-01,Very small,Passiva mkt
08971237000121,2018-11-01,SEM PORTE DEFINIDO,Lista ativa
08977401000108,2021-09-01,Small,Links patrocinados
08981461000102,2021-04-01,Small,Lista ativa
09008151000160,2022-03-01,Middle,Lista ativa
09049714000169,2021-07-01,Small,Lista ativa
09055998000104,2022-01-01,Middle,Passiva mkt
09056346000186,2021-03-01,Very Small,Lista ativa
09060637000148,2020-08-01,Small,Lista ativa
09092708000194,2021-08-01,Small,Passiva mkt
09097495000193,2021-01-01,Very small,Passiva mkt
09099038000138,2021-04-01,Small,Lista ativa
09099400000170,2019-12-01,Small,Lista ativa
09107908000173,2021-07-01,Small,Lista ativa
09113843000179,2019-07-01,SEM PORTE DEFINIDO,Lista ativa
09134330000144,2021-06-01,Small,Lista ativa
09144952000153,2021-02-01,Very Small,Passiva mkt
09154984000130,2021-02-01,Middle,Lista ativa
09156285000129,2022-09-01,Middle,Indicação
09177245000163,2020-08-01,Very small,Lista ativa
09196253000157,2022-02-01,Small,Lista ativa
09196317000381,2022-01-01,Middle,Lista ativa
09200447000189,2020-12-01,Very small,Lista ativa
09213892000183,2021-06-01,Middle,Evento
09237542000157,2019-11-01,SEM PORTE DEFINIDO,Lista ativa
09250921000500,2021-01-01,Middle,Passiva mkt
09252701000192,2020-12-01,Middle,Lista ativa
09257587000193,2019-09-01,Middle,Passiva mkt
09276674000198,2021-04-01,Small,Lista ativa
09277651000106,2021-03-01,Small,Lista ativa
09278222000145,2017-03-01,SEM PORTE DEFINIDO,Lista ativa
09303516000180,2020-04-01,Very small,Evento
09305570000164,2021-06-01,Middle,Evento
09306228000189,2020-11-01,Middle,Lista ativa
09321296000117,2018-12-01,SEM PORTE DEFINIDO,Lista ativa
09330128000198,2021-01-01,Small,Lista ativa
09331830000176,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
09341426000183,2019-07-01,SEM PORTE DEFINIDO,Lista ativa
09359328000173,2018-09-01,SEM PORTE DEFINIDO,Lista ativa
09376370000100,2022-10-01,Large,Lista ativa
09385277000154,2022-04-01,Small,Passiva mkt
09390540000101,2021-04-01,Very Small,Lista ativa
09397002000130,2020-09-01,Small,Indicação
09411312000162,2021-07-01,Large,Lista ativa
09420283000103,2019-01-01,SEM PORTE DEFINIDO,Lista ativa
09452853000139,2021-07-01,Small,Lista ativa
09452900000144,2019-11-01,Middle,Evento
09454624000153,2022-09-01,Middle,Lista ativa
09467919000164,2018-11-01,SEM PORTE DEFINIDO,Lista ativa
09469924000106,2022-04-01,Small,Indicação
09474329000169,2020-02-01,SEM PORTE DEFINIDO,Lista ativa
09496038000171,2022-02-01,Small,Lista ativa
09504672000109,2022-08-01,Middle,Links patrocinados
09517682000189,2021-05-01,Small,Lista ativa
09530264000121,2021-10-01,Small,Passiva mkt
09536120000182,2021-06-01,Large,Lista ativa
09538744000139,2021-10-01,Middle,Evento
09555387000117,2022-07-01,Small,Lista ativa
09569553000134,2020-04-01,Small,Lista ativa
09570403000140,2020-01-01,Small,Lista ativa
09574379000118,2021-07-01,Small,Lista ativa
09585929000102,2021-06-01,Small,Indicação
09600519000185,2022-05-01,Middle,Links patrocinados
09605208000109,2020-09-01,Very small,Evento
09621776000101,2019-01-01,SEM PORTE DEFINIDO,Lista ativa
09624235000129,2021-09-01,Small,Lista ativa
09625361000106,2020-01-01,SEM PORTE DEFINIDO,Lista ativa
09643027000177,2022-08-01,Small,Evento
10144211000151,2021-11-01,Small,Lista ativa
10145553000196,2021-03-01,Very small,Lista ativa
10198598000129,2021-01-01,Very Small,Lista ativa
10226996000101,2019-02-01,SEM PORTE DEFINIDO,Lista ativa
10238563000176,2018-12-01,SEM PORTE DEFINIDO,Lista ativa
10268911000158,2020-06-01,Large,Passiva mkt
10278370000149,2021-05-01,Small,Lista ativa
10297864000170,2021-09-01,Small,Lista ativa
10303644000102,2020-03-01,Very small,Passiva mkt
10316083000186,2020-09-01,Very small,Lista ativa
10318701000127,2021-03-01,Small,Lista ativa
10329701000122,2021-09-01,Small,Lista ativa
10333971000107,2022-10-01,Middle,Lista ativa
10340101000165,2022-06-01,Very Small,Passiva mkt
10341742000134,2021-06-01,Middle,Passiva mkt
10345806000175,2022-07-01,Small,Lista ativa
10347407000143,2019-08-01,Large,Passiva mkt
10348741000111,2022-02-01,Small,Passiva mkt
10353029000100,2021-09-01,Small,Lista ativa
10353107000258,2022-04-01,Middle,Passiva mkt
10363084000181,2022-02-01,Small,Lista ativa
10376190000108,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
10378876000120,2021-05-01,Very small,Lista ativa
10407979000170,2018-09-01,SEM PORTE DEFINIDO,Lista ativa
10410172000197,2018-11-01,SEM PORTE DEFINIDO,Lista ativa
10412479000127,2018-12-01,SEM PORTE DEFINIDO,Lista ativa
10414615000118,2019-09-01,Middle,Lista ativa
10425636000139,2022-01-01,Small,Passiva mkt
10441309000170,2022-04-01,Very Small,Passiva mkt
10444860000178,2020-12-01,Middle,Lista ativa
10445561000158,2021-01-01,Small,Lista ativa
10452500000118,2021-02-01,Small,Evento
10454174000188,2020-12-01,Middle,Lista ativa
10461829000145,2021-04-01,Small,Passiva mkt
10464126000170,2021-04-01,Small,Lista ativa
10467906000174,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
10475620000130,2020-02-01,Small,Lista ativa
10477856000106,2019-07-01,SEM PORTE DEFINIDO,Lista ativa
10482854000105,2022-10-01,Small,Lista ativa
10486458000156,2019-07-01,Very small,Evento
10495553000116,2021-05-01,Middle,Passiva mkt
10496642000187,2022-02-01,Very Small,Lista ativa
10508843000238,2022-06-01,Middle,Indicação
10517722000171,2021-10-01,Large,Lista ativa
10538355000192,2021-04-01,Middle,Evento
10552296000107,2020-06-01,Small,Lista ativa
10564092000196,2022-04-01,Very Small,Lista ativa
10574882000152,2017-04-01,Small,Links patrocinados
10599666000161,2022-06-01,Very Small,Lista ativa
10615831000121,2021-08-01,Small,Passiva mkt
10624695000136,2021-04-01,Very Small,Links patrocinados
10639321000194,2022-07-01,Small,Passiva mkt
10656487000119,2021-09-01,Middle,Passiva mkt
10665426000118,2021-02-01,Small,Indicação
10665585000112,2018-11-01,SEM PORTE DEFINIDO,Lista ativa
10670426000106,2020-05-01,SEM PORTE DEFINIDO,Lista ativa
10670854000139,2021-09-01,Very Small,Passiva mkt
10673280000152,2022-06-01,Small,Passiva mkt
10676298000108,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
10683664000156,2018-08-01,SEM PORTE DEFINIDO,Lista ativa
10690946000180,2018-11-01,SEM PORTE DEFINIDO,Lista ativa
10707895000152,2021-11-01,Middle,Evento
10724275000121,2022-06-01,Large,Evento
10729059000179,2022-02-01,Small,Passiva mkt
10742035000150,2019-03-01,SEM PORTE DEFINIDO,Lista ativa
10750855000193,2021-07-01,Small,Lista ativa
10756481000113,2019-03-01,SEM PORTE DEFINIDO,Lista ativa
10766733000195,2021-08-01,Small,Lista ativa
10767571000100,2022-02-01,Very small,Passiva mkt
10797787000118,2020-12-01,Middle,Passiva mkt
10812693000170,2021-04-01,Small,Lista ativa
10829959000198,2020-06-01,Small,Evento
10831068000176,2022-03-01,Middle,Lista ativa
10858890000120,2021-10-01,Middle,Evento
10871039000138,2021-10-01,Middle,Passiva mkt
10876445000193,2021-04-01,Small,Links patrocinados
10882812000161,2021-07-01,Small,Lista ativa
10892589000133,2019-09-01,SEM PORTE DEFINIDO,Lista ativa
10917643000158,2022-07-01,Small,Lista ativa
10961528000180,2022-07-01,Small,Lista ativa
10973560000186,2021-06-01,Middle,Lista ativa
10979780000117,2021-09-01,Small,Lista ativa
10980520000161,2019-10-01,Small,Lista ativa
11004614000168,2021-01-01,Middle,Lista ativa
11011091000187,2021-12-01,Middle,Lista ativa
11011865000170,2019-04-01,SEM PORTE DEFINIDO,Lista ativa
11027350000168,2021-07-01,Middle,Lista ativa
11031130000108,2021-06-01,Small,Lista ativa
11031351000186,2021-07-01,Very Small,Lista ativa
11032571000124,2022-08-01,Small,Indicação
11056765000160,2020-08-01,Very small,Lista ativa
11061153000165,2021-04-01,Small,Lista ativa
11064033000111,2021-04-01,Middle,Lista ativa
11089061000193,2020-05-01,SEM PORTE DEFINIDO,Lista ativa
11113501000109,2022-07-01,Small,Lista ativa
11123412000135,2021-05-01,Middle,Passiva mkt
11129166000129,2022-07-01,Small,Lista ativa
11140448000127,2022-04-01,Very small,Indicação
11167539000156,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
11172157000110,2022-08-01,Middle,Evento
11194932000139,2021-03-01,Very Small,Indicação
11197570000130,2022-04-01,Middle,Lista ativa
11197705000167,2020-07-01,Small,Indicação
11202349000122,2019-02-01,SEM PORTE DEFINIDO,Lista ativa
11208241000147,2022-09-01,Small,Passiva mkt
11226117000104,2017-11-01,SEM PORTE DEFINIDO,Lista ativa
11229451000111,2021-04-01,Small,Lista ativa
11233754000108,2021-12-01,Small,Lista ativa
11267461000141,2022-07-01,Small,Evento
11272329000128,2020-09-01,Middle,Lista ativa
11288729000121,2020-12-01,Small,Passiva mkt
11296451000134,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
11302975000190,2021-07-01,Small,Lista ativa
11319574000143,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
11324248000124,2020-06-01,SEM PORTE DEFINIDO,Lista ativa
11326688000110,2019-08-01,SEM PORTE DEFINIDO,Lista ativa
11359761000150,2022-09-01,Small,Lista ativa
11380496000192,2020-01-01,SEM PORTE DEFINIDO,Lista ativa
11388985000190,2022-02-01,Small,Lista ativa
11422304000163,2020-11-01,Middle,Lista ativa
11422588000198,2020-08-01,SEM PORTE DEFINIDO,Lista ativa
11447790000174,2022-06-01,Small,Lista ativa
11448707000181,2021-06-01,Very Small,Lista ativa
11465995000182,2021-07-01,Small,Lista ativa
11485357000123,2021-02-01,Small,Lista ativa
11486771000157,2021-04-01,Middle,Evento
11498408000151,2020-05-01,Very small,Lista ativa
11509962000197,2019-12-01,SEM PORTE DEFINIDO,Lista ativa
11517774000100,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
11564921000101,2021-02-01,Very Small,Passiva mkt
11566074000106,2021-03-01,Small,Lista ativa
11584085000119,2021-04-01,Very Small,Passiva mkt
11615383000129,2019-11-01,SEM PORTE DEFINIDO,Lista ativa
11648657000186,2021-04-01,Middle,Lista ativa
11654813000111,2020-11-01,Small,Evento
11661244000131,2022-09-01,Small,Lista ativa
11664952000126,2020-08-01,SEM PORTE DEFINIDO,Lista ativa
11665265000125,2020-12-01,Very small,Passiva mkt
11667642000165,2021-06-01,Middle,Lista ativa
11669779000159,2020-09-01,Small,Passiva mkt
11673813000169,2022-04-01,Very small,Passiva mkt
11683236000196,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
11707347000195,2018-09-01,SEM PORTE DEFINIDO,Lista ativa
11709620000110,2021-06-01,Small,Lista ativa
11721921000160,2020-06-01,Middle,Lista ativa
11722210000100,2019-04-01,SEM PORTE DEFINIDO,Lista ativa
11730992000129,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
11742857000101,2021-05-01,Very Small,Evento
11744716000110,2021-12-01,Middle,Lista ativa
11746661000187,2020-06-01,SEM PORTE DEFINIDO,Lista ativa
11748537000150,2022-04-01,Small,Indicação
11755004000104,2020-02-01,SEM PORTE DEFINIDO,Lista ativa
11803138000145,2022-04-01,Small,Lista ativa
11808206000169,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
11814158000111,2021-05-01,Very small,Lista ativa
11824118000150,2018-11-01,SEM PORTE DEFINIDO,Lista ativa
11845885000146,2022-06-01,Small,Lista ativa
11846783000145,2019-04-01,SEM PORTE DEFINIDO,Lista ativa
11860990000235,2020-01-01,Middle,Lista ativa
11861207000177,2022-04-01,Small,Passiva mkt
11886228000147,2022-07-01,Small,Lista ativa
11908414000130,2018-09-01,SEM PORTE DEFINIDO,Lista ativa
11916692000139,2021-02-01,Small,Passiva mkt
11936539000173,2020-05-01,Small,Lista ativa
11943666000108,2021-02-01,Small,Lista ativa
11974349000140,2022-07-01,Small,Passiva mkt
11976918000197,2022-06-01,Very small,Lista ativa
11976932000190,2019-01-01,SEM PORTE DEFINIDO,Lista ativa
11983420000151,2019-09-01,SEM PORTE DEFINIDO,Lista ativa
12037695000165,2022-05-01,Small,Links patrocinados
12041655000197,2022-10-01,Small,Lista ativa
12053309000129,2022-07-01,Middle,Lista ativa
12066037000100,2021-04-01,Middle,Passiva mkt
12087270000160,2022-02-01,Very Small,Lista ativa
12094533000169,2019-01-01,SEM PORTE DEFINIDO,Lista ativa
12104320000170,2021-10-01,Small,Lista ativa
12122467000193,2021-10-01,Very small,Passiva mkt
12134405000100,2021-04-01,Small,Lista ativa
12213363000194,2022-08-01,Small,Lista ativa
12215178000139,2021-02-01,Small,Lista ativa
12222426000179,2021-08-01,Small,Passiva mkt
12241369000175,2018-08-01,SEM PORTE DEFINIDO,Lista ativa
12255007000133,2022-03-01,Small,Lista ativa
12273118000172,2019-11-01,SEM PORTE DEFINIDO,Lista ativa
12278636000189,2022-01-01,Small,Passiva mkt
12308549000127,2021-04-01,Middle,Evento
12312747000164,2020-09-01,Middle,Lista ativa
12350970000104,2016-02-01,Middle,Lista ativa
12356181000172,2021-12-01,Very Small,Passiva mkt
12358825000161,2021-07-01,Very Small,Lista ativa
12403320000171,2021-10-01,Small,Lista ativa
12423715000136,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
12504971000158,2021-10-01,Middle,Lista ativa
12521855000147,2019-11-01,Small,Lista ativa
12524663000194,2020-03-01,Small,Lista ativa
12538254000147,2019-09-01,Middle,Lista ativa
12550955000100,2021-07-01,Large,Lista ativa
12563575000100,2021-10-01,Middle,Lista ativa
12563613000205,2020-02-01,Very small,Lista ativa
12564086000164,2021-09-01,Middle,Evento
12578221000120,2021-10-01,Small,Passiva mkt
12579873000180,2021-06-01,Very small,Lista ativa
12591776000102,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
12604524000170,2020-04-01,SEM PORTE DEFINIDO,Lista ativa
12615346000183,2021-06-01,Small,Evento
12628557000150,2022-07-01,Middle,Lista ativa
12632349000125,2022-02-01,SEM PORTE DEFINIDO,Lista ativa
12632349000125,2022-02-01,Middle,Lista ativa
12643874000146,2021-06-01,Small,Lista ativa
12668093000106,2021-11-01,Small,Links patrocinados
12682977000115,2022-02-01,Small,Lista ativa
12724879000101,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
12730779000180,2022-01-01,Small,Lista ativa
12809025000110,2018-04-01,Small,Evento
12816631000162,2022-03-01,Middle,Evento
12824747000143,2021-09-01,Very Small,Lista ativa
12841641000158,2022-07-01,Middle,Lista ativa
12847857000120,2020-08-01,Small,Lista ativa
12888138000158,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
12917935000116,2021-06-01,Small,Lista ativa
12925002000170,2020-06-01,SEM PORTE DEFINIDO,Lista ativa
12934518000181,2020-09-01,Very small,Lista ativa
12942976000162,2020-05-01,SEM PORTE DEFINIDO,Lista ativa
12983076000163,2020-05-01,Small,Lista ativa
12998470000175,2021-10-01,Small,Lista ativa
13084119000131,2022-05-01,Small,Lista ativa
13098174000180,2018-08-01,SEM PORTE DEFINIDO,Lista ativa
13119682000106,2017-08-01,Small,Lista ativa
13125971000100,2022-03-01,Middle,Lista ativa
13132551000150,2022-07-01,Small,Lista ativa
13146729000112,2020-04-01,Small,Passiva mkt
13157305000153,2022-06-01,Very small,Passiva mkt
13160631000110,2018-05-01,Very small,Passiva mkt
13184153000188,2021-11-01,Small,Lista ativa
13186610000173,2022-09-01,Small,Passiva mkt
13236578000193,2021-07-01,Small,Lista ativa
13246982000148,2020-06-01,Middle,Passiva mkt
13252610000124,2021-02-01,Very Small,Lista ativa
13284396000198,2022-09-01,Middle,Evento
13311835000104,2019-04-01,Small,Lista ativa
13320375000180,2018-03-01,Small,Lista ativa
13337517000112,2020-05-01,Very small,Lista ativa
13352623000175,2019-12-01,SEM PORTE DEFINIDO,Lista ativa
13381976000101,2021-02-01,Small,Passiva mkt
13411173000144,2021-01-01,Small,Passiva mkt
13418088000108,2022-04-01,Small,Lista ativa
13435648000132,2022-03-01,Very small,Passiva mkt
13449696000180,2022-04-01,Middle,Lista ativa
13455068000107,2022-09-01,Middle,Lista ativa
13458756000120,2019-02-01,SEM PORTE DEFINIDO,Lista ativa
13469495000144,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
13475043000175,2018-07-01,SEM PORTE DEFINIDO,Lista ativa
13479276000146,2019-09-01,SEM PORTE DEFINIDO,Lista ativa
13481760000100,2020-12-01,Middle,Lista ativa
13487857000120,2020-03-01,Very small,Lista ativa
13493509000165,2019-04-01,SEM PORTE DEFINIDO,Lista ativa
13515947000187,2021-10-01,Small,Lista ativa
13582276000177,2021-03-01,Middle,Indicação
13595326000150,2019-08-01,Very small,Evento
13620336000107,2017-04-01,SEM PORTE DEFINIDO,Lista ativa
13631679000169,2021-04-01,Middle,Evento
13637872000107,2021-04-01,Small,Lista ativa
13671907000124,2021-02-01,Small,Passiva mkt
13707275000101,2018-12-01,SEM PORTE DEFINIDO,Lista ativa
13729366000148,2015-07-01,SEM PORTE DEFINIDO,Lista ativa
13743266000176,2021-08-01,Very Small,Evento
13749521000198,2018-10-01,Small,Lista ativa
13750503000126,2020-10-01,Middle,Lista ativa
13762834000186,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
13767889000189,2021-02-01,Very Small,Passiva mkt
13770019000169,2021-08-01,Small,Evento
13790471000192,2021-02-01,Small,Lista ativa
13809432000190,2020-03-01,SEM PORTE DEFINIDO,Lista ativa
13810408000170,2021-07-01,Middle,Lista ativa
13815983000166,2021-02-01,Small,Evento
13827798000191,2022-06-01,Small,Lista ativa
13845715000197,2022-08-01,Middle,Passiva mkt
13879324000193,2022-09-01,Very Small,Passiva mkt
13885290000140,2021-03-01,Small,Lista ativa
13895778000158,2021-07-01,Small,Indicação
13916492000101,2019-03-01,SEM PORTE DEFINIDO,Lista ativa
13923945000127,2020-12-01,Middle,Lista ativa
13959033000105,2021-10-01,Small,Lista ativa
13964519000131,2021-09-01,Middle,Lista ativa
13985086000109,2018-11-01,SEM PORTE DEFINIDO,Lista ativa
14015220000101,2022-10-01,Small,Lista ativa
14069185000103,2022-02-01,Middle,Evento
14084522000123,2018-08-01,SEM PORTE DEFINIDO,Lista ativa
14153062000148,2021-08-01,Small,Lista ativa
14160839000100,2021-01-01,Very small,Lista ativa
14181427000148,2020-06-01,SEM PORTE DEFINIDO,Lista ativa
14185274000107,2017-10-01,SEM PORTE DEFINIDO,Lista ativa
14197402000132,2019-01-01,Middle,Links patrocinados
14208689000159,2019-10-01,Very small,Lista ativa
14220191000101,2021-01-01,Small,Indicação
14226840000181,2019-03-01,SEM PORTE DEFINIDO,Lista ativa
14237712000133,2018-11-01,SEM PORTE DEFINIDO,Lista ativa
14256102000187,2021-06-01,Very Small,Passiva mkt
14298948000180,2021-10-01,Middle,Lista ativa
14311217000127,2016-10-01,SEM PORTE DEFINIDO,Lista ativa
14318116000188,2019-07-01,Small,Evento
14324635000159,2022-04-01,Middle,Evento
14325952000190,2021-05-01,Middle,Lista ativa
14330421000195,2022-02-01,Very small,Lista ativa
14338304000178,2020-02-01,Middle,Evento
14350699000124,2021-07-01,Small,Passiva mkt
14408651000120,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
14411237000170,2019-04-01,SEM PORTE DEFINIDO,Lista ativa
14432857000195,2021-12-01,Small,Lista ativa
14447666000105,2017-05-01,Middle,Passiva mkt
14464487000178,2019-03-01,SEM PORTE DEFINIDO,Lista ativa
14488144000143,2015-10-01,Middle,Lista ativa
14534320000136,2020-10-01,Small,Passiva mkt
14536755000110,2022-06-01,Small,Passiva mkt
14537034000124,2022-09-01,Very small,Lista ativa
14539119000141,2017-06-01,SEM PORTE DEFINIDO,Lista ativa
14543481000196,2018-07-01,SEM PORTE DEFINIDO,Lista ativa
14573836000190,2022-02-01,Small,Lista ativa
14621955000170,2021-09-01,Very Small,Passiva mkt
14626109000143,2022-08-01,Small,Lista ativa
14642513000100,2021-02-01,Very Small,Passiva mkt
14647409000109,2019-07-01,SEM PORTE DEFINIDO,Lista ativa
14648036000190,2021-03-01,Very Small,Lista ativa
14650011000121,2019-02-01,SEM PORTE DEFINIDO,Lista ativa
14650195000120,2022-08-01,Small,Lista ativa
14652138000180,2019-11-01,SEM PORTE DEFINIDO,Lista ativa
14654278000197,2022-07-01,Small,Passiva mkt
14700287000177,2021-08-01,Very small,Lista ativa
14700294000179,2021-12-01,Small,Lista ativa
14768383000157,2019-10-01,Small,Lista ativa
14769245000192,2020-05-01,Very small,Lista ativa
14832642000161,2019-08-01,SEM PORTE DEFINIDO,Lista ativa
14854135000129,2017-04-01,Small,Passiva mkt
14870079000116,2021-06-01,Middle,Lista ativa
14875307000140,2019-08-01,SEM PORTE DEFINIDO,Lista ativa
15023942000162,2020-11-01,Very small,Indicação
15034470000143,2022-08-01,Small,Indicação
15046133000176,2017-07-01,SEM PORTE DEFINIDO,Lista ativa
15058982000140,2022-07-01,Small,Passiva mkt
15076647000174,2020-11-01,Middle,Lista ativa
15097979000135,2018-03-01,SEM PORTE DEFINIDO,Lista ativa
15118399000187,2019-08-01,Middle,Evento
15169566000119,2019-09-01,Very small,Lista ativa
15174013000154,2020-02-01,SEM PORTE DEFINIDO,Lista ativa
15176644000102,2022-05-01,Very small,Indicação
15192641000162,2020-03-01,Small,Lista ativa
15220432000185,2022-04-01,Very small,Lista ativa
15224228000132,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
15247962000117,2021-10-01,Small,Lista ativa
15262308000182,2019-06-01,Small,Passiva mkt
15276316000188,2022-10-01,Small,Lista ativa
15276523000132,2021-12-01,Middle,Passiva mkt
15299748000104,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
15304440000100,2021-08-01,Small,Lista ativa
15320668000193,2018-09-01,SEM PORTE DEFINIDO,Lista ativa
15332479000130,2020-02-01,SEM PORTE DEFINIDO,Lista ativa
15346379000163,2021-04-01,Very Small,Lista ativa
15352250000168,2019-05-01,Small,Evento
15384965000100,2021-08-01,Small,Lista ativa
15388724000121,2021-12-01,Small,Evento
15438805000199,2020-06-01,Middle,Indicação
15448414000155,2020-09-01,Small,Lista ativa
15473712000103,2021-08-01,Small,Passiva mkt
15480736000181,2020-10-01,Very small,Lista ativa
15497667000119,2021-03-01,Small,Lista ativa
15519365000102,2019-04-01,SEM PORTE DEFINIDO,Lista ativa
15524030000174,2022-02-01,Small,Lista ativa
15530624000198,2020-11-01,Middle,Passiva mkt
15572755000138,2018-10-01,SEM PORTE DEFINIDO,Lista ativa
15581909000158,2019-06-01,Very small,Indicação
15625073000146,2022-03-01,Small,Lista ativa
15642942000140,2021-01-01,Small,Passiva mkt
15667086000188,2022-09-01,Small,Lista ativa
15673605000110,2021-05-01,Large,Lista ativa
15675480000168,2018-12-01,SEM PORTE DEFINIDO,Lista ativa
15684790000149,2019-05-01,Small,Indicação
15684914000196,2021-04-01,Small,Evento
15752904000140,2022-03-01,Small,Lista ativa
15753780000118,2021-05-01,Small,Passiva mkt
15754475000140,2017-01-01,SEM PORTE DEFINIDO,Lista ativa
15766003000108,2021-04-01,Small,Indicação
15807851000118,2018-07-01,Very small,Indicação
15809550000123,2020-06-01,Small,Lista ativa
15827586000130,2020-10-01,Very small,Lista ativa
15834731000100,2022-04-01,Small,Lista ativa
15999626000120,2021-08-01,Middle,Lista ativa
16096718000244,2020-12-01,Very small,Lista ativa
16370273000168,2022-03-01,Middle,Lista ativa
16417085000148,2019-09-01,SEM PORTE DEFINIDO,Lista ativa
16422582000134,2020-05-01,SEM PORTE DEFINIDO,Lista ativa
16435867000100,2020-05-01,Very small,Lista ativa
16483037000158,2021-09-01,Small,Lista ativa
16528722000153,2020-09-01,Middle,Passiva mkt
16530534000160,2019-07-01,SEM PORTE DEFINIDO,Lista ativa
16551147000100,2022-10-01,Middle,Lista ativa
16614009000122,2021-08-01,Middle,Lista ativa
16644671000125,2021-03-01,Small,Evento
16668661000120,2022-01-01,Small,Indicação
16682647000180,2018-10-01,SEM PORTE DEFINIDO,Lista ativa
16687992000107,2022-06-01,Middle,Lista ativa
16694056000123,2020-12-01,Middle,Lista ativa
16706346000140,2021-06-01,Very Small,Links patrocinados
16749178000170,2022-06-01,Small,Lista ativa
16792427000100,2022-01-01,Small,Lista ativa
16820384000129,2020-06-01,Middle,Passiva mkt
16864643000113,2021-01-01,Very small,Lista ativa
16866896000126,2020-02-01,Small,Lista ativa
16897786000121,2016-02-01,SEM PORTE DEFINIDO,Lista ativa
16927275000105,2022-03-01,Small,Passiva mkt
16941228000116,2022-07-01,Small,Passiva mkt
16960479000148,2019-06-01,Middle,Lista ativa
16961448000101,2020-11-01,Middle,Passiva mkt
16965207000130,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
16991064000131,2018-07-01,SEM PORTE DEFINIDO,Lista ativa
16994727000171,2021-04-01,Middle,Passiva mkt
17024891000119,2021-07-01,Small,Lista ativa
17027806000176,2022-06-01,Large,Lista ativa
17032914000137,2022-01-01,Small,Lista ativa
17040617000133,2022-07-01,Small,Lista ativa
17049185000121,2021-03-01,Small,Lista ativa
17056867000161,2021-06-01,Small,Lista ativa
17067790000125,2018-09-01,SEM PORTE DEFINIDO,Lista ativa
17077752000153,2021-12-01,Small,Indicação
17088147000188,2021-01-01,Very small,Passiva mkt
17098220000100,2021-03-01,Small,Lista ativa
17102524000196,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
17112981000161,2021-07-01,Small,Lista ativa
17113181000165,2020-05-01,Very small,Evento
17114355000104,2019-02-01,SEM PORTE DEFINIDO,Lista ativa
17151302000163,2022-04-01,Very Small,Passiva mkt
17159943000164,2021-02-01,Small,Lista ativa
17188852000157,2022-02-01,Very small,Evento
17204930000160,2020-08-01,Middle,Evento
17230899000131,2021-07-01,Very small,Lista ativa
17232025000113,2018-09-01,Small,Lista ativa
17233547000130,2022-05-01,Small,Lista ativa
17253266000149,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
