cnpj,data_base,porte,origem
02363128000145,2018-05-01,SEM PORTE DEFINIDO,Lista ativa
02365581000190,2021-02-01,Very small,Lista ativa
02387361000168,2021-08-01,Small,Passiva mkt
02405614000189,2020-06-01,Middle,Lista ativa
02411193000107,2021-07-01,Middle,Passiva mkt
02419557000197,2021-06-01,Middle,Evento
02429647000169,2022-07-01,Small,Evento
02435301000416,2022-05-01,SEM PORTE DEFINIDO,Lista ativa
02435301000416,2022-05-01,Middle,Passiva mkt
02452703000186,2021-08-01,Small,Evento
02498157000114,2021-03-01,Middle,Lista ativa
02501289000158,2020-01-01,Small,Lista ativa
02513147000100,2021-09-01,Very small,Passiva mkt
02531343000108,2022-06-01,Large,Lista ativa
02535864000133,2020-06-01,Middle,Lista ativa
02581588000140,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
02598002000150,2021-10-01,Large,Lista ativa
02606408000137,2019-08-01,SEM PORTE DEFINIDO,Lista ativa
02607251000164,2021-07-01,Small,Lista ativa
02623157000107,2019-10-01,SEM PORTE DEFINIDO,Lista ativa
02633138000153,2022-09-01,Small,Evento
02633281000145,2021-11-01,Middle,Lista ativa
02659265000121,2021-12-01,Small,Lista ativa
02728291000164,2022-03-01,Very small,Indicação
02750303000580,2021-05-01,Small,Lista ativa
02766861000100,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
02811903000188,2018-03-01,Middle,Evento
02812525000157,2022-02-01,Very small,Passiva mkt
02879250000179,2022-01-01,Large,Lista ativa
02886275000108,2018-10-01,Large,Indicação
02890944000107,2018-06-01,Small,Lista ativa
02903788000171,2022-03-01,Small,Lista ativa
02919762000111,2020-12-01,Small,Evento
02921346000158,2022-10-01,Middle,Lista ativa
02983056000139,2022-02-01,Middle,Lista ativa
03076832000180,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
03088752000144,2022-07-01,Very Small,Lista ativa
03106429000156,2020-03-01,Middle,Passiva mkt
03112879000151,2022-04-01,Large,Lista ativa
03129650000120,2022-04-01,Middle,Lista ativa
03148451000169,2016-07-01,SEM PORTE DEFINIDO,Lista ativa
03148465000182,2019-07-01,SEM PORTE DEFINIDO,Lista ativa
03186027000109,2021-07-01,Very small,Links patrocinados
03194437000100,2021-04-01,Small,Lista ativa
03200626000130,2020-06-01,SEM PORTE DEFINIDO,Lista ativa
03238665000126,2022-08-01,Very small,Lista ativa
03252338000129,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
03254555000158,2021-08-01,Small,Lista ativa
03259752000160,2021-08-01,Large,Lista ativa
03317766000192,2022-04-01,Middle,Lista ativa
03341541000171,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
03353696000128,2022-01-01,Small,Lista ativa
03371953000154,2022-06-01,Small,Lista ativa
03384719000161,2018-09-01,Middle,Lista ativa
03390128000105,2022-10-01,Small,Indicação
03409807000170,2017-02-01,SEM PORTE DEFINIDO,Lista ativa
03412697000104,2019-02-01,SEM PORTE DEFINIDO,Lista ativa
03433815000152,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
03467109000121,2022-01-01,Middle,Passiva mkt
03470786000107,2020-02-01,Very small,Indicação
03476184000159,2022-06-01,Small,Lista ativa
03489027000188,2021-06-01,Middle,Evento
03495949000106,2018-08-01,SEM PORTE DEFINIDO,Lista ativa
03497916000197,2021-08-01,Middle,Passiva mkt
03509150000113,2020-11-01,Middle,Lista ativa
