cnpj,SpotterId
00063069000164,10875
00176513000310,12382
01163538000180,11143
01421225000184,11487
01426365000145,12122
01471899000193,12178
01477885000187,11865
02044526000360,10662
02351144000118,12446
02903788000171,12000
03238665000126,12515
03371953000154,12320
03476184000159,12274
03915427000108,12103
04215721001656,11605
04714448000128,12323
04860567000199,12149
05154130000100,12355
05389441000140,12614
05470651000169,12239
06027810000118,12551
07008954000190,12206
07037423000125,12152
07242402000141,11400
08604018000104,12503
09373798000191,12416
09504718000190,12601
10452500000118,10160
10517722000171,11443
10599666000161,12325
10673280000152,12289
10724275000121,12294
10851805000100,12051
10917643000158,12450
11032571000124,12513
11172157000110,12602
11315435000141,12506
11524207000181,12561
11803138000145,12077
12420164001200,12331
12563575000100,11371
12841641000158,12458
13186610000173,12599
13832863000177,12549
14536755000110,12371
14650195000120,12533
15034470000143,12532
16687992000107,12356
16927275000105,11964
18093100000175,12598
18189378000140,12695
18360671000129,12631
18504813000184,12643
18694300000183,11477
19376162000157,12284
19978047000152,12066
20876318000148,11500
21043282000265,12319
21306728000116,12493
21389427000101,12027
21716549000157,11991
23442093000100,11937
23518455000107,12324
23636564000110,12326
23846779000166,11574
23870826000107,10847
24296850000147,12079
24441177000191,12295
24707105000143,12585
25321672000120,12478
26197158000197,12229
26231209000150,11873
27139634000186,12409
27865757000102,10799
28140540000190,12374
28159459000151,11735
28612816000195,12155
28799718000109,12491
29039697000196,12209
29246062000160,12646
29303506000151,11966
29722072000124,12620
29882613000181,12276
30187372000130,10331
30263534000171,12675
30708419628,11988
31289712000104,12224
31291580000147,12159
31443324000128,12216
31947464000133,12471
31951380000173,11632
32175595000102,12566
33143233000100,12318
33177186000108,12462
33658291000169,11514
34137386000108,11339
36570735000106,12282
37153549000126,11918
37227132000160,11121
37241071000196,12244
37542204000164,12522
37545051000109,12029
39280908000131,12681
39473758000182,10879
39599878000120,12688
39773730000160,12519
40146473000116,11655
40448974000157,12395
41649269000180,12112
41767712000118,12285
42914408000119,10666
46654158000186,11104
53967360000123,12505
60001955000195,12207
76823327000125,12109
79416541000155,11754
834486617,12553
83802215000153,12584
92856905000186,12389
93578813000144,12117
