Id Spotter,CNPJ,Razão Social,Status,Data base,Data churn,LT (Meses),MRR Inicial,MRR Total (Atual),Spotter (R$),Comunicação (R$),Searching (R$),Exact Club (R$),Nº de Funcionarios Linkedin (Sobre),Nº funcionarios Conectados Linkedin,Link do LinkedIn,Porte (ajustado),Porte da Empresa segundo Receita Federal,Porte da Empresa segundo base de dados do Searching,Mercado,Sub setor,Leads em entrada,Agendamentos,Vendas,Cadencia ativa,Workflow ativo,Atividades concluidas,Numero de usuáros,Integração Inbound,Integração CRM,Minutos telefonia,Origem,Upsell (Sim / Não),Upsell (Nº),Upsell (R$),Downsell (Sim/Não),Downsell (Nº),Downsell (R$),Tipo de contrato,CNPJ
12179,13.084.119/0001-31,ZEUSDEV TECNOLOGIA LTDA,Churn,01/05/2022,23/11/2022,6,1077,1077,759,199,119,,11-50,20,https://www.linkedin.com/company/zeusdev/about/,Small,ME,EPP,"Serviços - Desenvolvimento de softwares, sistemas e apps",,0,"1,5",0,0,8,1,4,,PipeDrive,"9,75",BDR,Não,0,0,,,,SEMESTRAL,13084119000131
12222,29.230.763/0001-00,EXITO CONSULTORIA LTDA,Ativo,01/05/2022,,6,"1674,9","1674,9",1157,"248,9",269,,Não Tem,Não Tem,Não Tem,Very Small,ME,ME,Serviços - Coaching e consultoria,,0,21,"6,2",2,16,"2062,2",10,,,"1082,4",Anúncio,Não,0,0,Sim,1,199,SEMESTRAL,29230763000100
12330,38.308.116/0001-65,ISRAEL LIMA MARINHO 00082443246,Ativo,01/06/2022,,5,"1146,9","1146,9",699,"248,9",199,,0-1,Não Tem,https://www.linkedin.com/company/lima-m%C3%ADdias-br/about/,Very small,ME,ME,"Serviços - Marketing, publicidade, design e produção",,0,6,6,1,4,1,4,,,"23,66666667",Site,Não,0,0,,,,ANUAL,38308116000165
12351,24.090.288/0001-09,AMAZON SOLAR ENGENHARIA LTDA,Ativo,01/06/2022,,5,1194,1194,796,199,199,,Não Tem,Não Tem,Não Tem,Very Small,ME,ME,Gás e Energia,,0,1,0,0,4,2,4,,,0,MKTdeConteúdo,Não,0,0,,,,MENSAL,24090288000109
12406,27.811.360/0001-20,AGROINTELI TECNOLOGIA LTDA,Churn,01/07/2022,05/12/2022,5,"1762,9",1464,796,299,369,,11-50,17,https://www.linkedin.com/company/agrointeli/,Small,ME,ME,Software - Agronegócio,,62,"18,5","1,5",0,10,"1143,75",9,RDStation,PipeDrive,"820,5",CoMKTConteúdo,Não,0,0,Sim,3,"298,9",MENSAL,27811360000120
12449,11.886.228/0001-47,PATRIO ASSESSORIA CONTABIL LTDA,Ativo,01/07/2022,,4,"1114,9","1114,9",597,"148,9",369,,11-50,10,https://br.linkedin.com/company/patrio-assessoria-cont%C3%A1bil/about,Small,EPP,EPP,"Serviços - Jurídicos, de advocacia, contabilidade ou auditoria",,0,1,"8,333333333",0,16,69,8,,,26,ListasAtivas,Não,0,0,,,,ANUAL,11886228000147
12473,17.432.731/0001-09,PROGEPLAN ENGENHARIA  E ENERGIA SOLAR EIRELI,Ativo,01/07/2022,,4,"1156,9","1156,9",759,"248,9",149,,Não Tem,3,https://www.linkedin.com/company/progeplan-engenharia-e-energia-solar/about/,Very small,ME,ME,Gás e Energia,,0,9,1,2,2,0,7,,,0,BDR,Não,0,0,,,,SEMESTRAL,17432731000109
12535,13.845.715/0001-97,VALOR IMOBILIARIA LTDA,Ativo,01/08/2022,,3,"1107,9","1107,9",759,"348,9",0,,51-200,15,https://www.linkedin.com/company/valorimobiliaria/about/,Middle,ME,ME,Serviços - Imobiliário,,0,1,0,0,0,0,5,,,0,CoMKTConteúdo,Não,0,0,,,,SEMESTRAL,13845715000197
11650,43.095.468/0001-10,PHYLLON ACELERADORA LTDA,Churn,01/12/2021,28/08/2022,8,2550,1714,,,,,11-50,Não tem,https://www.linkedin.com/company/phyllonbank/about/,Small,ME,ME,"Serviços - Financeiro, seguros, previdência complementar e planos de saúde",,"127,75",16,"6,5",0,6,"49,25",49,,,"352,3333333",Site,Sim,2,835,Sim,2,1671,SEMESTRAL,43095468000110
12012,33.845.322/0001-90, A GERADORA ALUGUEL DE MAQUINAS S.A.,Ativo,01/11/2021,,12,"3804,9","4861,1","3343,2","748,9",769,,501-1000,643,https://www.linkedin.com/company/a-geradora/?originalSubdomain=br,Big,DEMAIS,GE,Comércio de Bens de Consumo duráveis - Equipamentos industriais,,0,"2,5",0,2,6,"307,4",43,,DynamicsOnline,"1798,9",BDR,Sim,1,597,Sim,4,1569,Validar,33845322000190
