cnpj,data_base,mes,logo
00163903000193,2017-09-01,8,1
00163903000193,2017-09-01,9,1
00163903000193,2017-09-01,10,1
00163903000193,2017-09-01,11,1
00163903000193,2017-09-01,12,1
00163903000193,2017-09-01,13,1
00163903000193,2017-09-01,14,1
00163903000193,2017-09-01,15,1
00163903000193,2017-09-01,16,1
00163903000193,2017-09-01,17,1
00163903000193,2017-09-01,18,1
00179569000166,2022-05-01,1,1
00179569000166,2022-05-01,2,1
00179569000166,2022-05-01,3,1
00208666000130,2020-12-01,1,1
00208666000130,2020-12-01,2,1
00208666000130,2020-12-01,3,1
00208666000130,2020-12-01,4,1
00208666000130,2020-12-01,5,1
00208666000130,2020-12-01,6,1
00208666000130,2020-12-01,7,1
00208666000130,2020-12-01,8,1
00208666000130,2020-12-01,9,1
00208666000130,2020-12-01,10,1
00283822000127,2022-03-01,1,1
00283822000127,2022-03-01,2,1
00283822000127,2022-03-01,3,1
00288916000199,2021-09-01,1,1
00288916000199,2021-09-01,2,1
00288916000199,2021-09-01,3,1
00288916000199,2021-09-01,4,1
00288916000199,2021-09-01,5,1
00288916000199,2021-09-01,6,1
00288916000199,2021-09-01,7,1
00288916000199,2021-09-01,8,1
00288916000199,2021-09-01,9,1
00288916000199,2021-09-01,10,1
00288916000199,2021-09-01,11,1
00292267000108,2020-07-01,1,1
00292267000108,2020-07-01,2,1
00292267000108,2020-07-01,3,1
00292267000108,2020-07-01,4,1
00292267000108,2020-07-01,5,1
00333978000175,2021-01-01,1,1
00333978000175,2021-01-01,2,1
00333978000175,2021-01-01,3,1
00333978000175,2021-01-01,4,1
00333978000175,2021-01-01,5,1
00373160000186,2021-07-01,1,1
00373160000186,2021-07-01,2,1
00373160000186,2021-07-01,3,1
00373160000186,2021-07-01,4,1
00392394000170,2017-12-01,1,1
00392394000170,2017-12-01,2,1
00392394000170,2017-12-01,3,1
00392394000170,2017-12-01,4,1
00392394000170,2017-12-01,5,1
00392394000170,2017-12-01,6,1
00392394000170,2017-12-01,7,1
00392394000170,2017-12-01,8,1
00392394000170,2017-12-01,9,1
00392394000170,2017-12-01,10,1
00392394000170,2017-12-01,11,1
00392394000170,2017-12-01,12,1
00392394000170,2017-12-01,13,1
00392394000170,2017-12-01,14,1
00392394000170,2017-12-01,15,1
00392394000170,2017-12-01,16,1
00392394000170,2017-12-01,17,1
00392394000170,2017-12-01,18,1
00392394000170,2017-12-01,19,1
00392394000170,2017-12-01,20,1
00392394000170,2017-12-01,21,1
00395228000128,2021-04-01,1,1
00395228000128,2021-04-01,2,1
00395228000128,2021-04-01,3,1
00395228000128,2021-04-01,4,1
00395228000128,2021-04-01,5,1
00395228000128,2021-04-01,6,1
00395228000128,2021-04-01,7,1
00395228000128,2021-04-01,8,1
00395228000128,2021-04-01,9,1
00395228000128,2021-04-01,10,1
00395228000128,2021-04-01,11,1
00395228000128,2021-04-01,12,1
00456865000167,2020-12-01,1,1
00456865000167,2020-12-01,2,1
00456865000167,2020-12-01,3,1
00456865000167,2020-12-01,4,1
00456865000167,2020-12-01,5,1
00456865000167,2020-12-01,6,1
00456865000167,2020-12-01,7,1
00456865000167,2020-12-01,8,1
00456865000167,2020-12-01,9,1
00456865000167,2020-12-01,10,1
00456865000167,2020-12-01,11,1
00456865000167,2020-12-01,12,1
00551775000155,2020-09-01,1,1
00551775000155,2020-09-01,2,1
00551775000155,2020-09-01,3,1
00551775000155,2020-09-01,4,1
00551775000155,2020-09-01,5,1
00551775000155,2020-09-01,6,1
00551775000155,2020-09-01,7,1
00553123000150,2021-11-01,1,1
00553123000150,2021-11-01,2,1
00553123000150,2021-11-01,3,1
00565357000117,2020-08-01,1,1
00565357000117,2020-08-01,2,1
00565357000117,2020-08-01,3,1
00565357000117,2020-08-01,4,1
00565357000117,2020-08-01,5,1
00565357000117,2020-08-01,6,1
00565357000117,2020-08-01,7,1
00565357000117,2020-08-01,8,1
00565357000117,2020-08-01,9,1
00565357000117,2020-08-01,10,1
00565357000117,2020-08-01,11,1
00569905000187,2021-10-01,1,1
00569905000187,2021-10-01,2,1
00569905000187,2021-10-01,3,1
00569905000187,2021-10-01,4,1
00569905000187,2021-10-01,5,1
00569905000187,2021-10-01,6,1
00569905000187,2021-10-01,7,1
00569905000187,2021-10-01,8,1
00569905000187,2021-10-01,9,1
00569905000187,2021-10-01,10,1
00569905000187,2021-10-01,11,1
00569905000187,2021-10-01,12,1
00569905000187,2021-10-01,13,1
00612182000151,2020-08-01,1,1
00612182000151,2020-08-01,2,1
00612182000151,2020-08-01,3,1
00612182000151,2020-08-01,4,1
00612182000151,2020-08-01,5,1
00612182000151,2020-08-01,6,1
00612182000151,2020-08-01,7,1
00612182000151,2020-08-01,8,1
00612182000151,2020-08-01,9,1
00612182000151,2020-08-01,10,1
00612182000151,2020-08-01,11,1
00612182000151,2020-08-01,12,1
00612182000151,2020-08-01,13,1
00612182000151,2020-08-01,14,1
00612182000151,2020-08-01,15,1
00612182000151,2020-08-01,16,1
00612182000151,2020-08-01,17,1
00612182000151,2020-08-01,18,1
00612182000151,2020-08-01,19,1
00612182000151,2020-08-01,20,1
00640736000124,2019-01-01,1,1
00640736000124,2019-01-01,2,1
00640736000124,2019-01-01,3,1
00640736000124,2019-01-01,4,1
00640736000124,2019-01-01,5,1
